subject,predicate,object
Season 12 of The Big Bang Theory,instanceOf,TV season
The Big Bang Theory,instanceOf,TV series
Simon Helberg,spouse,Judy Greer
Rati Gupta,instanceOf,Person
Alfred Hofstadter,maritalStatus,Widower
Halley Wolowitz,instanceOf,Fictional character
Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series,awardedFor,Role of Sheldon Cooper in The Big Bang Theory
Bernadette Rostenkowski-Wolowitz,appearsIn,The Big Bang Theory
Leonard Hofstadter,hasGlasses,true
Leonard Hofstadter,hasIQ,173
"Season 2, Episode 15",director,Mark Cendrowski
Alfred Hofstadter,relation,Father of Leonard Hofstadter
The Big Bang Theory,numberOfEpisodes,279
Laura Spencer,roleInTheBigBangTheory,Emily Sweeney
"Season 1, Episode 15 (The Pork Chop Indeterminacy)",director,Anthony Rich
Mary Cooper,motherOf,Sheldon Cooper
The Lunar Excitation,seasonNumber,3
Young Sheldon,narrator,Jim Parsons
Season 11 of The Big Bang Theory,premiereDate,"September 25, 2017"
"The Big Bang Theory Season 3, Episode 23",partOfSeason,The Big Bang Theory Season 3
Bernadette Rostenkowski,hasChild,Neil Michael Wolowitz
Warner Bros. Television,instanceOf,Television production company
Halley Wolowitz,appearsIn,The Big Bang Theory
Haley Wolowitz,isDaughterOf,Beverly Hofstadter
Season 11 of The Big Bang Theory,instanceOf,TV season
Season 1,partOf,The Big Bang Theory
The Big Bang Theory,originalNetwork,CBS
The Big Bang Theory,productionCompany,Warner Bros. Television
"Season 2, Episode 22",airDate,"May 4, 2009"
Mary Cooper,personalityTrait,Devout
The Big Bang Theory Season 11,finaleDate,"May 10, 2018"
Season 4,mainCast,Jim Parsons
The Big Bang Theory,notableGuestStar,Stan Lee
Season 6,mainCharacters,Raj Koothrappali
The Big Bang Theory Season 9,originalReleaseEndDate,2016-05-12
Primetime Emmy Award nominations for The Big Bang Theory,nominatedFor,Outstanding Supporting Actor in a Comedy Series
The Big Bang Theory Season 9,mainCast,Simon Helberg
Season 10,finaleDate,"May 11, 2017"
The History of Everything,instanceOf,Song
"Season 1, Episode 15",mainCharacters,Sheldon Cooper
Season 10,premiereDate,"September 19, 2016"
Comic Book Store,frequentedBy,Sheldon Cooper
Michael Wolowitz,appearsIn,The Big Bang Theory
Bernadette Wolowitz,appearsIn,The Big Bang Theory
The Big Bang Theory Season 12,mainCast,Kunal Nayyar
The Big Bang Theory,characterOccupation,Microbiologist
The Big Bang Theory Season 12,showrunner,Steve Molaro
The Big Bang Theory Season 12,mainCast,Johnny Galecki
George Cooper Sr.,spouse,Mary Cooper
Season 9,mainCast,Jim Parsons
Season 11,originalAirDateStart,"September 25, 2017"
Season 10,genre,Sitcom
Leonard Hofstadter's mother,portrayedBy,Christine Baranski
Priya Koothrappali,hasBrother,Raj Koothrappali
Season 5,instanceOf,Season of The Big Bang Theory
The Big Bang Theory Season 10,instanceOf,TV Season
Lance Barber,actedIn,The Big Bang Theory
Leonard Hofstadter,hasFriend,Rajesh Koothrappali
The Big Bang Theory episodes,mainCharacters,Howard Wolowitz
Carol Ann Susi,instanceOf,Person
Mayim Bialik,awards,Primetime Emmy Award nominations for The Big Bang Theory
Season 10,showrunner,Bill Prady
"Season 3, Episode 13",director,Mark Cendrowski
Neil Michael Wolowitz,relation,Haley Wolowitz (sister)
Season 6,mainCharacters,Amy Farrah Fowler
Anthony Rich,instanceOf,Character
The Big Bang Theory episodes,genre,Sitcom
Michael Hofstadter,instanceOf,Fictional character
Sheldon Cooper,hasFavoriteHoliday,Christmas
Mark Cendrowski,directed,The Big Bang Theory
The Big Bang Theory Season 9,mainCast,Melissa Rauch
Season 9,finaleDate,"May 12, 2016"
Lance Barber,roleInTheBigBangTheory,Jimmy Speckerman
The Big Bang Theory Season 12,notableEvent,Final season of the series
The Big Bang Theory Season 11,mainCast,Kunal Nayyar
The Big Bang Theory Season 11,showrunner,Steve Molaro
Season 8,originalNetwork,CBS
The Big Bang Theory Season 11,mainCast,Johnny Galecki
The Big Bang Theory Season 11,numberOfEpisodes,24
The Big Bang Theory Season 3,creator,Chuck Lorre
Arthur Jeffries,appearsIn,The Big Bang Theory
Bob Newhart,instanceOf,Actor
Alfred Hofstadter,instanceOf,Fictional character
Raj Koothrappali,hasFriend,Howard Wolowitz
Young Sheldon,actor,Iain Armitage
The Big Bang Theory Season 11,filmingLocation,"Warner Bros. Studios, Burbank, California"
Howard Wolowitz (father),instanceOf,Character
Season 6,originalAirDateStart,"September 27, 2012"
Season 5,mainCast,Kaley Cuoco
The Big Bang Theory Season 4,partOf,The Big Bang Theory
Season 2,numberOfEpisodes,23
Beverly Hofstadter,personalityTrait,Emotionally distant
The Big Bang Theory Season 9,showrunner,Bill Prady
Season 7,notableEvents,Sheldon and Amy's relationship development
Season 7,originalReleaseEndDate,2014-05-15
Season 6,originalNetwork,CBS
Season 4,originalAirDateStart,"September 23, 2010"
Barry Kripke,instanceOf,Character
Stuart Bloom,characterTrait,lonely
Courtney Henggeler,appearedInSeason,Season 12
Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series,relatedTo,The Big Bang Theory
The Big Bang Theory Season 9,mainCast,Kevin Sussman
Kaley Cuoco,roleInTheBigBangTheory,Penny
Season 12,originalAirDateEnd,"May 16, 2019"
The Big Bang Theory,notableGuestStar,Elon Musk
The Big Bang Theory Season 12,finaleDate,"May 16, 2019"
Haley Wolowitz,portrayedBy,Kaley Cuoco
Comic Book Store,instanceOf,Location
Season 8,mainCast,Johnny Galecki
The Big Bang Theory,characterOccupation,Engineer
Season 8,numberOfEpisodes,24
Sheldon Cooper,hasPersonalityTrait,Highly Intelligent
Season 7,mainCast,Johnny Galecki
Season 7,numberOfEpisodes,24
Howard Wolowitz (father),relation,Father of Howard Wolowitz
The Big Bang Theory Season 11,mainCast,Melissa Rauch
The Big Bang Theory Season 7,mainCast,Simon Helberg
The Big Bang Theory episodes,partOf,The Big Bang Theory
Season 3,originalAirDateStart,"September 21, 2009"
Season 4,mainCast,Johnny Galecki
Caltech,fieldOfStudy,Science and Engineering
The Big Bang Theory Season 10,originalNetwork,CBS
"Season 3, Episode 13",title,The Bozeman Reaction
The Big Bang Theory Season 12,showrunner,Bill Prady
Season 2,instanceOf,Season of The Big Bang Theory
Anthony Rich,relationship,Leonard Hofstadter's colleague
The Big Bang Theory episodes,mainCharacters,Amy Farrah Fowler
Season 12,mainCast,Simon Helberg
Season 9,mainCast,Johnny Galecki
Season 12,notableEvent,Final season of The Big Bang Theory
Professor Proton,firstAppearance,"Season 7, Episode 22"
Season 5,originalAirDateStart,"September 22, 2011"
Arthur Jeffries,hasRole,Mentor to Sheldon Cooper
Season 4,originalReleaseEndDate,2010-05-06
Sheldon Cooper,hasFavoriteNumber,73
Bernadette Wolowitz,instanceOf,Fictional character
Amy Farrah Fowler,friend,Bernadette Rostenkowski-Wolowitz
Carol Ann Susi,role,Mrs. Wolowitz
Wil Wheaton,role,Himself
Comic Book Store,frequentedBy,Raj Koothrappali
The Big Bang Theory Season 11,genre,Sitcom
The Big Bang Theory Season 10,finaleDate,"May 11, 2017"
Season 5,mainCast,Kunal Nayyar
Stan Lee,knownFor,Marvel Comics
Mary Cooper,relationshipWithSheldon,Supportive
The Big Bang Theory Season 10,mainCast,Mayim Bialik
Season 6,originalReleaseStartDate,2012-09-27
Neil Michael Wolowitz,appearsIn,The Big Bang Theory
Raj Koothrappali,hasFriend,Amy Farrah Fowler
The Big Bang Theory Season 11,showrunner,Bill Prady
George Cooper III,spouse,Mary Cooper
Season 2,originalNetwork,CBS
"Season 1, Episode 15 (The Pork Chop Indeterminacy)",instanceOf,Episode
Primetime Emmy Award nominations for The Big Bang Theory,nominatedFor,Outstanding Directing for a Comedy Series
Season 12,mainCast,Melissa Rauch
The Big Bang Theory episodes,createdBy,Bill Prady
Neil Michael Wolowitz,fullName,Neil Michael Wolowitz
Season 11,mainCast,Mayim Bialik
Jimmy Speckerman,appearsIn,The Big Bang Theory
Season 6,mainCharacters,Leonard Hofstadter
Sheldon Cooper,hasFavoriteBoardGame,Settlers of Catan
Season 5,originalReleaseEndDate,2012-05-10
Amy Farrah Fowler,hasBestFriend,Bernadette Rostenkowski-Wolowitz
Bernadette Rostenkowski,marriedTo,Howard Wolowitz
The Big Bang Theory Season 3,instanceOf,TV season
Season 5,mainCast,Simon Helberg
Stephen Hawking,profession,Theoretical Physicist
The Big Bang Theory Season 12,numberOfEpisodes,24
Emily Sweeney,firstAppearance,Season 7
Amy Farrah Fowler,hasBestFriend,Penny
Beverly Hofstadter,relation,Leonard Hofstadter's mother
Season 1,originalAirDateStart,"September 24, 2007"
The Big Bang Theory Season 7,mainCast,Kevin Sussman
Sheldon Cooper,hasCatchphrase,"I'm not crazy, my mother had me tested."
Season 8,genre,Sitcom
Dr. Elizabeth Plimpton,occupation,Physicist
The Big Bang Theory Season 4,numberOfEpisodes,24
George Cooper Sr.,occupation,Used car salesman
Bert Kibbler,firstAppearance,Season 6
Bill Prady,roleInTheBigBangTheory,Co-creator
Season 9,notableGuestStars,Wil Wheaton
Season 6,mainCharacters,Penny
Season 5,mainCast,Melissa Rauch
Season 10,mainCast,Mayim Bialik
Comic Book Store,ownedBy,Stuart Bloom
Carol Ann Susi,appearedIn,The Big Bang Theory
Season 8,instanceOf,Season of The Big Bang Theory
The Big Bang Theory Season 7,mainCast,Jim Parsons
Michael Hofstadter,appearsIn,The Big Bang Theory
Bernadette Wolowitz,portrayedBy,Melissa Rauch
Season 7,instanceOf,Season of The Big Bang Theory
Melissa Rauch,characterProfession,Microbiologist
Caltech Theoretical Physicist,instanceOf,Occupation
Season 9,originalAirDateStart,"September 21, 2015"
Season 2,originalAirDateStart,"September 22, 2008"
Bob Newhart,role,Professor Proton
Season 4,instanceOf,Season of The Big Bang Theory
The Big Bang Theory Season 3,notableGuestStars,Wil Wheaton
"Season 3, Episode 13",instanceOf,Episode
Brian Posehn,instanceOf,Actor
Season 12,mainCast,Jim Parsons
Howard Wolowitz,instanceOf,Fictional Character
Priya Koothrappali,nationality,Indian
Sheldon Cooper,hasPhobia,Social Interaction
The Big Bang Theory episodes,numberOfEpisodes,279
"Season 3, Episode 13",airDate,"January 12, 2010"
Season 9,instanceOf,Season of The Big Bang Theory
The Big Bang Theory,awardsWon,Emmy Awards
Dr. Elizabeth Plimpton,appearsIn,The Big Bang Theory
Wil Wheaton,instanceOf,Person
Michael Hofstadter,childOf,Penny Hofstadter
Bernadette Rostenkowski-Wolowitz,knownFor,High-pitched voice
Season 12,premiereDate,"September 24, 2018"
Season 11,mainCast,Jim Parsons
Season 2,partOf,The Big Bang Theory
Season 12,notableEvent,Series finale aired
Stan Lee,instanceOf,Person
Season 6,partOf,The Big Bang Theory
Season 6,instanceOf,Season of The Big Bang Theory
The Big Bang Theory episodes,mainCharacters,Leonard Hofstadter
The Big Bang Theory episodes,mainCharacters,Rajesh Koothrappali
Season 6,mainCharacters,Bernadette Rostenkowski
Sheldon Cooper,instanceOf,Fictional character
Wil Wheaton,appearedIn,The Big Bang Theory
Stan Lee,occupation,Comic book writer
The Big Bang Theory Season 9,mainCast,Mayim Bialik
Season 8,mainCast,Kaley Cuoco
Mrs. Wolowitz,voiceActor,Carol Ann Susi
Sheldon Cooper,hasPet,A turtle named Sheldon Jr.
The Big Bang Theory Season 7,originalNetwork,CBS
Bernadette Rostenkowski-Wolowitz,firstAppearance,"Season 3, Episode 13"
Leonard Hofstadter,hasPersonalityTrait,Intelligent
Wil Wheaton,occupation,Actor
Season 7,mainCast,Kaley Cuoco
Season 9,originalNetwork,CBS
Kevin Sussman,appearedInTVSeries,The Big Bang Theory
The Big Bang Theory Season 12,mainCast,Simon Helberg
Season 4,mainCast,Kaley Cuoco
George Cooper Sr.,fatherOf,George Cooper Jr.
The Big Bang Theory Season 3,notableGuestStars,LeVar Burton
Season 5,mainCast,Jim Parsons
Season 7,originalAirDateEnd,"May 15, 2014"
Leonard Hofstadter's mother,personality,cold and analytical
Raj Koothrappali,hasFriend,Leonard Hofstadter
The Lunar Excitation,mainCharacters,Penny
Season 9,notableGuestStars,Kevin Sussman
Season 6,notableEvents,Sheldon and Amy's relationship development
Raj Koothrappali,worksAt,Caltech
Season 9,mainCast,Kaley Cuoco
Season 10,mainCast,Jim Parsons
Howard Wolowitz (father),child,Howard Wolowitz
Primetime Emmy Award nominations for The Big Bang Theory,nominatedFor,Outstanding Writing for a Comedy Series
Season 11,originalNetwork,CBS
The Big Bang Theory episodes,mainCharacters,Penny
Comic Book Store,frequentedBy,Howard Wolowitz
Courtney Henggeler,appearedInSeason,Season 11
The Big Bang Theory Season 12,mainCast,Melissa Rauch
The Big Bang Theory Season 11,mainCast,Simon Helberg
Arthur Jeffries,alsoKnownAs,Professor Proton
Professor Proton,appearsIn,The Big Bang Theory
Leonard Hofstadter,romanticInterest,Penny
Season 12,finaleDate,"May 16, 2019"
Sheldon Cooper,hasFather,George Cooper Sr.
Barry Kripke,hasRivalryWith,Sheldon Cooper
Lance Barber,instanceOf,Actor
The Big Bang Theory Season 3,creator,Bill Prady
Raj Koothrappali,hasFriend,Penny
Rajesh Koothrappali,worksAt,Caltech
The Big Bang Theory,characterOccupation,Physicist
Judy Greer,roleInTheBigBangTheory,Dr. Elizabeth Plimpton
Howard Wolowitz,hasFriend,Leonard Hofstadter
The Big Bang Theory Season 9,notableGuestStars,Wil Wheaton
Howard Wolowitz,hasFriend,Rajesh Koothrappali
Season 8,mainCast,Kunal Nayyar
The Big Bang Theory Season 4,originalReleaseStartDate,2009-09-22
Sheldon Cooper,hasPersonalityTrait,Socially Awkward
Rajesh Koothrappali,hasRomanticInterest,Lucy
Stan Lee,occupation,Publisher
The Big Bang Theory Season 10,mainCast,Johnny Galecki
The Big Bang Theory Season 4,originalReleaseEndDate,2010-05-06
The Big Bang Theory Season 10,numberOfEpisodes,24
Season 7,mainCast,Kunal Nayyar
George Cooper Sr.,fatherOf,Sheldon Cooper
Jimmy Speckerman,instanceOf,Character
"Season 1, Episode 15",mainCharacters,Penny
The Comic Center,instanceOf,Comic Book Store
Season 4,mainCast,Kunal Nayyar
Season 10,originalNetwork,CBS
The Big Bang Theory Season 9,mainCast,Jim Parsons
Season 4,numberOfEpisodes,24
The Big Bang Theory Season 12,notableEvent,Sheldon and Amy win Nobel Prize
The Big Bang Theory,notableGuestStar,Bill Gates
Howard Wolowitz's mother,relationTo,Howard Wolowitz
Howard Wolowitz's mother,instanceOf,Character
Arthur Jeffries,instanceOf,Fictional Character
Lance Barber,profession,Actor
The Big Bang Theory Season 7,instanceOf,TV season
Season 11,mainCast,Johnny Galecki
Season 4,partOf,The Big Bang Theory
Emily Sweeney,personalityTrait,Dark sense of humor
Season 9,mainCast,Kunal Nayyar
Season 11,premiereDate,"September 25, 2017"
Season 9,numberOfEpisodes,24
The Big Bang Theory,notableGuestStar,Stephen Hawking
Season 8,mainCast,Simon Helberg
Brian Posehn,role,Bert Kibbler
The Big Bang Theory Season 7,mainCast,Mayim Bialik
Season 7,mainCast,Simon Helberg
Season 9,partOf,The Big Bang Theory
Caltech,featuredIn,The Big Bang Theory
Season 4,mainCast,Simon Helberg
Season 6,numberOfEpisodes,24
Raj Koothrappali,hasFriend,Bernadette Rostenkowski
Season 10,originalAirDateStart,"September 19, 2016"
The Big Bang Theory Season 12,mainCast,Jim Parsons
Season 8,notableEvents,Leonard and Penny get married
George Cooper Sr.,fatherOf,Missy Cooper
Season 12,mainCast,Mayim Bialik
Season 9,mainCast,Simon Helberg
Season 8,mainCast,Melissa Rauch
Arthur Jeffries,portrayedBy,Bob Newhart
Melissa Rauch,characterSpouse,Howard Wolowitz
The Big Bang Theory Season 9,originalNetwork,CBS
Raj Koothrappali,nationality,Indian
Season 10,mainCast,Johnny Galecki
Anthony Rich,appearsIn,The Big Bang Theory
Season 7,mainCast,Melissa Rauch
Mrs. Wolowitz,characterTrait,Overbearing mother
Bert Kibbler,appearsIn,The Big Bang Theory
Season 4,originalReleaseStartDate,2009-09-23
Bert Kibbler,worksAt,Caltech
Season 4,mainCast,Melissa Rauch
George Cooper Jr.,marriedTo,Mary Cooper
Howard Wolowitz,hasChild,Haley Wolowitz
The Big Bang Theory Season 11,mainCast,Jim Parsons
Anu,firstAppearance,Season 11
Season 6,originalAirDateEnd,"May 16, 2013"
Haley Wolowitz,familyMember,Debbie Wolowitz
George Cooper Sr.,appearsIn,The Big Bang Theory
The Big Bang Theory episodes,instanceOf,TV series episodes
Judy Greer,actedIn,The Big Bang Theory
Season 9,mainCast,Melissa Rauch
Season 8,originalAirDateEnd,"May 7, 2015"
Season 5,notableEvents,Sheldon and Amy's relationship development
Jimmy Speckerman,occupation,Computer Programmer
Professor Proton,portrayedBy,Bob Newhart
Michael Hofstadter,childOf,Leonard Hofstadter
George Cooper Jr.,deceased,True
Season 10,originalAirDateEnd,"May 11, 2017"
Season 5,mainCast,Mayim Bialik
Season 5,notableEvents,Leonard and Penny's relationship challenges
The Big Bang Theory Season 7,partOf,The Big Bang Theory
The Big Bang Theory Season 12,originalNetwork,CBS
Jim Parsons,portrays,Sheldon Cooper
The Big Bang Theory episodes,mainCharacters,Sheldon Cooper
Professor Proton,realName,Arthur Jeffries
Bernadette Wolowitz,spouse,Howard Wolowitz
Emmy Awards,instanceOf,Award
Season 6,notableEvents,Raj's romantic struggles
Wil Wheaton,occupation,Writer
The Big Bang Theory Season 10,partOf,The Big Bang Theory
The Bozeman Reaction,episodeNumber,15
Season 12,partOf,The Big Bang Theory
Season 8,mainCast,Kevin Sussman
Season 12,instanceOf,Season of The Big Bang Theory
Season 7,mainCast,Kevin Sussman
The Big Bang Theory Season 9,mainCast,Johnny Galecki
Leonard Hofstadter,playedBy,Johnny Galecki
Priya Koothrappali,instanceOf,Character
Season 11,partOf,The Big Bang Theory
Season 11,instanceOf,Season of The Big Bang Theory
Season 9,originalAirDateEnd,"May 12, 2016"
Season 8,originalReleaseStartDate,2014-09-22
The Big Bang Theory Season 11,originalNetwork,CBS
The Big Bang Theory Season 7,originalReleaseEndDate,2014-05-15
Sheldon Cooper,hasFavoriteMovie,Star Trek
Season 8,originalAirDateStart,"September 22, 2014"
The Big Bang Theory,awardsWon,People's Choice Awards
Sheldon Cooper,hasFavoriteSuperhero,The Flash
Season 8,mainCast,Jim Parsons
Penny,marriedTo,Leonard Hofstadter
The Lunar Excitation,instanceOf,episode
Season 7,mainCast,Jim Parsons
Anu,occupation,Doctor
The Lunar Excitation,mainCharacters,Leonard Hofstadter
The Big Bang Theory,notableGuestStar,Mark Hamill
Sheldon Cooper,worksAt,Caltech
Howard Wolowitz,knownFor,Wearing colorful and tight clothing
Bob Newhart,appearedIn,The Big Bang Theory
Season 2,originalReleaseEndDate,2009-05-11
Leonard Hofstadter,hasPersonalityTrait,Sensitive
Dr. Elizabeth Plimpton,portrayedBy,Judy Greer
The Big Bang Theory Season 7,mainCast,Kaley Cuoco
Rajesh Koothrappali,hasRomanticInterest,Emily Sweeney
The Big Bang Theory Season 10,premiereDate,"September 19, 2016"
Primetime Emmy Award nominations for The Big Bang Theory,nominatedFor,Outstanding Comedy Series
Sheldon Cooper,hasFavoriteColor,Red
Sheldon Cooper,hasPersonalityTrait,Obsessive-Compulsive
Brian Posehn,appearedIn,The Big Bang Theory
Beverly Hofstadter,relationshipWithLeonard,Strained but caring
Sheldon Cooper,hasFavoriteComicBook,The Flash
Bill Prady,roleInTheBigBangTheory,Executive producer
Season 5,partOf,The Big Bang Theory
The Big Bang Theory Season 10,mainCast,Kaley Cuoco
Season 12,mainCast,Kaley Cuoco
The Big Bang Theory Season 10,genre,Sitcom
Sheldon Cooper,hasMother,Mary Cooper
Jim Parsons,starredIn,The Big Bang Theory
Stephen Hawking,appearedIn,The Big Bang Theory
The History of Everything,genre,Alternative rock
Sheldon Cooper,hasFriend,Amy Farrah Fowler
Season 10,partOf,The Big Bang Theory
Season 10,instanceOf,Season of The Big Bang Theory
The Comic Center,featuredIn,The Big Bang Theory
Howard Wolowitz,hasFriend,Sheldon Cooper
The Big Bang Theory Season 3,notableGuestStars,Stephen Hawking
George Cooper Sr.,portrayedBy,Lance Barber
Season 11,mainCast,Kaley Cuoco
Season 12,network,CBS
Bernadette Wolowitz,hasChild,Michael Wolowitz
Howard Wolowitz,mother,Debbie Wolowitz
Anthony Rich,occupation,Physicist
Season 3,originalAirDateEnd,"May 24, 2010"
The Big Bang Theory Season 11,premiereDate,"September 25, 2017"
The Pork Chop Indeterminacy,partOf,The Big Bang Theory
Primetime Emmy Award nominations for The Big Bang Theory,nominatedFor,Outstanding Supporting Actress in a Comedy Series
Carol Ann Susi,characterRelation,Mother of Howard Wolowitz
The Big Bang Theory Season 12,mainCast,Mayim Bialik
"Season 1, Episode 15",mainCharacters,Leonard Hofstadter
Comic Book Store,frequentedBy,Leonard Hofstadter
The Big Bang Theory Season 7,originalReleaseStartDate,2013-09-26
Season 6,originalReleaseEndDate,2013-05-16
Beverly Hofstadter,profession,Neuroscientist
Rajesh Koothrappali,hasRomanticInterest,Anu
Jimmy Speckerman,isHighSchoolBullyingTargetOf,Leonard Hofstadter
Season 7,originalAirDateStart,"September 26, 2013"
Stephen Hawking,guestStarredAsHimselfInSeason,9
Season 2,instanceOf,Season
The Comic Center,location,"Pasadena, California"
Emmy Awards,awardedFor,Outstanding achievements in television
The Big Bang Theory Season 7,mainCast,Kunal Nayyar
The Big Bang Theory Season 11,instanceOf,TV Season
The Big Bang Theory Season 7,mainCast,Johnny Galecki
Season 9,premiereDate,"September 21, 2015"
The Big Bang Theory Season 7,numberOfEpisodes,24
The Big Bang Theory Season 12,premiereDate,"September 24, 2018"
Season 10,mainCast,Kaley Cuoco
"Season 3, Episode 13",writer,Steven Molaro
Season 8,originalReleaseEndDate,2015-05-07
The Big Bang Theory Season 9,partOf,The Big Bang Theory
The Big Bang Theory Season 11,mainCast,Mayim Bialik
The Big Bang Theory,characterOccupation,Astrophysicist
Season 5,originalNetwork,CBS
The Big Bang Theory Season 10,mainCast,Kunal Nayyar
Haley Wolowitz,familyMember,Howard Wolowitz
Season 12,mainCast,Kunal Nayyar
The Big Bang Theory Season 10,showrunner,Steve Molaro
Season 12,mainCast,Johnny Galecki
Season 12,numberOfEpisodes,24
Season 5,originalReleaseStartDate,2011-09-22
Sheldon Cooper,hasAcademicPosition,Caltech Theoretical Physicist
Barry Kripke,occupation,Physicist
Season 2,originalReleaseStartDate,2008-09-22
Bert Kibbler,instanceOf,Character
Stuart Bloom,characterTrait,socially awkward
Season 6,mainCharacters,Sheldon Cooper
Beverly Hofstadter,personalityTrait,Highly analytical
Howard Wolowitz's mother,voiceActor,Carol Ann Susi
Stan Lee,occupation,Editor
Season 11,mainCast,Kunal Nayyar
Season 11,showrunner,Steve Molaro
Season 11,numberOfEpisodes,24
Leonard Hofstadter,hasSibling,Michael Hofstadter
Season 1,instanceOf,Season of The Big Bang Theory
The Big Bang Theory episodes,createdBy,Chuck Lorre
George Cooper Sr.,instanceOf,Character
The Big Bang Theory Season 10,mainCast,Simon Helberg
Kevin Sussman,portrayedCharacter,Stuart Bloom
The Big Bang Theory Season 12,partOf,The Big Bang Theory
Dr. Elizabeth Plimpton,instanceOf,Fictional character
Professor Proton,instanceOf,Fictional character
Season 9,notableEvents,Leonard and Penny get married
Primetime Emmy Award nominations for The Big Bang Theory,nominatedFor,Outstanding Lead Actor in a Comedy Series
The History of Everything,usedAs,Theme song of The Big Bang Theory
The Big Bang Theory Season 9,originalReleaseStartDate,2015-09-21
Rajesh Koothrappali,hasSister,Priya Koothrappali
Season 12,originalAirDateStart,"September 24, 2018"
Barry Kripke,hasRivalryWith,Leonard Hofstadter
Season 11,mainCast,Simon Helberg
The Big Bang Theory Season 9,mainCast,Kaley Cuoco
The Big Bang Theory Season 7,mainCast,Melissa Rauch
The Big Bang Theory Season 9,numberOfEpisodes,24
Barry Kripke,appearsIn,The Big Bang Theory
Season 11,originalAirDateEnd,"May 10, 2018"
The Big Bang Theory Season 4,originalNetwork,CBS
Season 8,mainCast,Mayim Bialik
Season 5,mainCast,Johnny Galecki
Bernadette Rostenkowski-Wolowitz,worksAt,Pharmaceutical company
Season 5,numberOfEpisodes,24
Barry Kripke,worksAt,Caltech
Neil Michael Wolowitz,relation,Howard Wolowitz (father)
Amy Farrah Fowler,friend,Penny
Season 7,mainCast,Mayim Bialik
The Big Bang Theory Season 9,notableGuestStars,Stephen Hawking
Bert Kibbler,occupation,Geologist
Season 7,originalReleaseStartDate,2013-09-26
The Lunar Excitation,partOfSeries,The Big Bang Theory
Season 10,mainCast,Kunal Nayyar
Season 4,mainCast,Mayim Bialik
The Big Bang Theory Season 10,mainCast,Melissa Rauch
Season 10,showrunner,Steve Molaro
Season 10,numberOfEpisodes,24
Mrs. Wolowitz,fullName,Debbie Wolowitz
The Big Bang Theory Season 11,partOf,The Big Bang Theory
Season 1,originalAirDateEnd,"May 19, 2008"
Leonard Hofstadter,hasRoommate,Sheldon Cooper
Sheldon Cooper,hasFavoriteMovie,Star Wars
Stephen Hawking,instanceOf,Character
Season 6,mainCharacters,Howard Wolowitz
Season 9,mainCast,Mayim Bialik
Raj Koothrappali,instanceOf,Fictional character
Season 11,mainCast,Melissa Rauch
Bernadette Wolowitz,hasChild,Halley Wolowitz
The Big Bang Theory Season 12,mainCast,Kaley Cuoco
Anu,isFianceeOf,Rajesh Koothrappali
Emmy Awards,relatedTo,The Big Bang Theory
Haley Wolowitz,sibling,Howard Wolowitz
The Lunar Excitation,mainCharacters,Sheldon Cooper
Howard Wolowitz,occupation,Aerospace Engineer
Season 10,mainCast,Simon Helberg
Season 9,notableGuestStars,Brian Posehn
Wil Wheaton,occupation,Voice Actor
Mrs. Wolowitz,relation,Howard Wolowitz's mother
Season 11,finaleDate,"May 10, 2018"
The Bozeman Reaction,instanceOf,Episode
The Big Bang Theory Season 10,showrunner,Bill Prady
Beverly Hofstadter,profession,Psychiatrist
Barry Kripke,portrayedBy,John Ross Bowie
Neil Michael Wolowitz,instanceOf,Fictional character
Stephen Hawking,guestStarredAsHimselfInSeason,7
Stephen Hawking,guestStarredAsHimselfInSeason,5
Johnny Galecki,playedCharacter,Leonard Hofstadter
The Big Bang Theory Season 12,instanceOf,TV season
Season 5,originalAirDateEnd,"May 10, 2012"
Sheldon Cooper,hasFriend,Penny
Season 12,seasonNumber,12
The Big Bang Theory Season 9,mainCast,Kunal Nayyar
The Big Bang Theory Season 11,mainCast,Kaley Cuoco
The Big Bang Theory Season 9,showrunner,Steve Molaro
Season 8,partOf,The Big Bang Theory
The Big Bang Theory,themeSong,The History of Everything
Season 7,partOf,The Big Bang Theory
Howard Wolowitz,instanceOf,Fictional character
Bert Kibbler,portrayedBy,Brian Posehn
Season 10,mainCast,Melissa Rauch
Bert Kibbler,friendOf,Howard Wolowitz
Sheldon Cooper,occupation,Theoretical physicist
Bernadette Rostenkowski-Wolowitz,instanceOf,Fictional character
Raj Koothrappali,hasFriend,Sheldon Cooper
Season 1,originalReleaseDate,"May 19, 2008"
The Lunar Excitation,airDate,"May 3, 2010"
The Big Bang Theory Season 10,mainCast,Jim Parsons
Season 4,originalAirDateEnd,"May 19, 2011"
Season 2,originalAirDateEnd,"May 11, 2009"
Bernadette Wolowitz,occupation,Microbiologist
The Maternal Capacitance,featuresCharacter,Sheldon Cooper
Season 10,mainCast,Kevin Sussman
Mary Cooper,religion,Christian
Judith Feldman,appearsIn,The Big Bang Theory
Neil Michael Wolowitz,relation,Bernadette Rostenkowski-Wolowitz (mother)
Theme song of The Big Bang Theory,performedBy,Barenaked Ladies
Season 4,mainCharacters,Raj Koothrappali
Howard Wolowitz,personalityTrait,Confident
The Maternal Capacitance,airDate,"February 2, 2010"
Sheldon Cooper,favoriteFood,Thai food
