subject,predicate,object
Bayer,products,Agricultural Chemicals
DAX 40,includesCompany,Deutsche Bank
Volkswagen AG,CEO,Oliver Blume
SEAT,products,Cars
DAX 40,includesCompany,Volkswagen
Volkswagen Group,founded,1937
DAX 40 Index,hasConstituentCompany,Münchener Rück
Delivery Hero,businessModel,Online food ordering and delivery platform
Dietmar Hopp,associatedWith,DAX 40 Index
NSU (historical),status,Defunct
Claus Wellenreuther,knownFor,Co-founder of SAP SE
SAP SE,founders,Klaus Tschira
Bugatti,foundedInYear,1909
Adidas,market,Frankfurt Stock Exchange
Continental,products,Powertrain and Chassis Components
BASF SE,founded,1865
Adolf Dassler,founderOf,Adidas
Ettore Bugatti,instanceOf,Person
Bugatti,parentCompany,Volkswagen Group
Infineon Technologies,stockExchange,Frankfurt Stock Exchange
Volkswagen AG,brands,Bentley
Siemens Healthineers,tickerSymbol,SHL
Adidas,foundedBy,Adolf Dassler
BASF SE,stockExchange,Frankfurt Stock Exchange
Vonovia,CEO,Rolf Buch
Hasso Plattner,occupation,Software Engineer
Linde,industry,Industrial Gases
Mercedes-Benz Group AG,listedInIndex,DAX 40 Index
Siemens AG,industry,Conglomerate
PUM,instanceOf,Company
Siemens Energy AG,products,Gas turbines
Germany,instanceOf,Country
Volkswagen Group,memberOf,DAX 40 Index
Siemens AG,instanceOf,Company
Volkswagen AG,industry,Automotive
Volkswagen AG,brands,Ducati
E.ON,memberOf,DAX 40 Index
Covestro,products,Polyurethanes
Zalando,industry,E-commerce
Puma,products,Footwear
Siemens AG,founder,Werner von Siemens
DAX 40 Index,instanceOf,Stock Market Index
Merck Group,foundedIn,1668
SAP,founders,Hans-Werner Hector
Henkel AG & Co. KGaA,isConstituentOf,DAX 40 Index
BMW,stockTicker,BMW
Siemens Energy,industry,Energy
DPW,headquarters,Germany
MTX,industry,Technology
^GDAXI,currency,Euro
Deutsche Börse,stockExchangeListing,Frankfurt Stock Exchange
Linde,tickerSymbol,LIN
Bentley,industry,Automotive
Merck Group,CEO,Belén Garijo
Adidas,products,Apparel
Daimler Truck,products,Trucks
Volkswagen Group,instanceOf,Company
SIE,tickerSymbol,SIE
E.ON,instanceOf,Company
RWE,instanceOf,Company
SAP,listedIn,DAX 40 Index
Allianz,sector,Insurance
E.ON,businessFocus,Electricity and Gas
DBK,ISIN,DE0005140008
SAP SE,products,Enterprise software
Allianz,marketCapitalization,One of the largest in DAX 40
European Central Bank,headquarters,"Frankfurt, Germany"
Bayer,industry,Life Sciences
Xetra trading system,supports,Real-time trading
SAP SE,instanceOf,company
Oliver Bäte,occupation,Business Executive
DAX 30 Index,market,Frankfurt Stock Exchange
DAX 40 Index,hasConstituentCompany,Daimler Truck
DAX 40 Index,hasConstituentCompany,Adidas
Fresenius Vamed,country,Germany
HelloFresh,founders,Jessica Nilsson
Puma,tickerSymbol,PUM
Adolf Dassler,instanceOf,Person
Rudolf Dassler,instanceOf,Person
"Ludwigshafen, Germany",instanceOf,City
Zalando,headquarters,"Berlin, Germany"
Claus Wellenreuther,contributedTo,Development of SAP R/2 software
SAP,stockExchange,Frankfurt Stock Exchange
Fresenius Helios,instanceOf,Company
Dietmar Hopp,co-founderOf,SAP SE
Mercedes-Benz Group AG,industry,Automotive
Frank Appel,instanceOf,Person
Siemens AG,tickerSymbol,SIE
DAX 40,includesCompany,HeidelbergCement
RWE AG,industry,Energy
Covestro,products,"Raw materials for coatings, adhesives, and automotive parts"
Daimler Truck,headquarters,"Stuttgart, Germany"
Werner Baumann,instanceOf,Person
DAX 40 Index,hasConstituentCompany,MTU Aero Engines
BAYN,industry,Pharmaceuticals and Life Sciences
Merck Group,products,Performance Materials
Siemens Healthineers,focus,Medical technology
Continental AG,stockExchange,Frankfurt Stock Exchange
Siemens Healthineers,headquarters,"Erlangen, Germany"
DAX 40,numberOfConstituents,40
Bayer AG,founded,1863
Henkel AG & Co. KGaA,knownFor,Beauty Care
Fresenius,businessSegments,Fresenius Medical Care
Daimler Truck AG,instanceOf,Company
BAYN,tickerSymbol,BAYN
Škoda,instanceOf,Automobile Manufacturer
Siemens Energy AG,parentCompany,Siemens AG
Daimler AG,headquarters,"Stuttgart, Germany"
Deutsche Börse,owns,Xetra
DAX 40 Index,operator,Deutsche Börse
Qiagen,CEO,Peer M. Schatz
Oliver Blume,instanceOf,Person
DAX 40 Index,includesCompanies,Continental
Oliver Bäte,relationToDAX40,"CEO of Allianz SE, a DAX 40 company"
Audi,tickerSymbol,NSU (historical)
Ettore Bugatti,nationality,Italian-French
Volkswagen AG,brands,Bugatti
Chairman of the Executive Board of Volkswagen AG,relatedTo,Volkswagen AG
Covestro,founded,2015
^GDAXI,tracks,40 major German blue chip companies
Merck Group,numberOfEmployees,"58,000 (2022)"
DAX 40 Index,includesCompanies,Siemens
Fresenius Kabi,tickerSymbol,FRE
HeidelbergCement,CEO,Dominik von Achten
Fresenius Medical Care,parentCompany,Fresenius SE & Co. KGaA
Delivery Hero,marketCapitalization,Multi-billion Euro
Continental,products,Automotive Safety
DAX 40 Index,includesCompanies,Fresenius
Daimler Truck,indexMembership,DAX 40
NSU (historical),knownFor,Automobiles
Fresenius Helios,memberOfIndex,DAX 40 Index
Vonovia,listedIn,DAX 40 Index
DAX 30,baseDate,"December 30, 1987"
DAX 40 Index,includesCompanies,Siemens Healthineers
European Central Bank,role,Monetary authority for the Eurozone
Deutsche Post,CEO,Frank Appel
DAX 40 Index,hasConstituentCompany,RWE
VOW3,instanceOf,Stock
Mercedes-Benz Group AG,CEO,Ola Källenius
Werner von Siemens,nationality,German
DBK,isComponentOf,DAX 40 Index
SAP,CEO,Christian Klein
Mercedes-Benz Group AG,headquarters,"Stuttgart, Germany"
Vonovia,stockExchange,Frankfurt Stock Exchange
Deutsche Börse,industry,Financial Services
DAX 40 Index,hasConstituentCompany,Deutsche Bank
Bentley,country,United Kingdom
Daimler AG,industry,Automotive
Peer M. Schatz,instanceOf,Person
RWE AG,memberOfIndex,DAX 40 Index
DAX 40 Index,hasConstituentCompany,Volkswagen
Timotheus Höttges,instanceOf,Person
Dietmar Hopp,nationality,German
DAX 40 company,memberOf,DAX 40 Index
Merck Group,listedIn,DAX 40 Index
Adolf Dassler,birthYear,1900
DAX 40,operator,Deutsche Börse
Deutsche Telekom,memberOf,DAX 40 Index
Ettore Bugatti,birthDate,1881
Vonovia,headquarters,Germany
Allianz,founded,1890
Porsche,parentCompany,Volkswagen Group
Deutsche Post AG,founded,1995
Deutsche Post AG,instanceOf,Company
Volkswagen AG,tickerSymbol,VOW3
DAX 40 Index,includesCompanies,Linde
Delivery Hero,instanceOf,Company
DAX 40 Index,calculationMethod,Free-float market capitalization weighted
BASF SE,headquarters,"Ludwigshafen, Germany"
Siemens Energy AG,tickerSymbol,ENR
Fresenius Kabi,memberOfIndex,DAX 40
Daimler Truck AG,spinOffFrom,Daimler AG
IFX,stockTicker,IFX
Frank Appel,CEO of,Deutsche Post AG
Markus Duesmann,position,Member of the Supervisory Board of Volkswagen AG
Mercedes-Benz Group AG,products,Luxury vehicles
^GDAXI,launchDate,1988-07-01
Daimler Truck,stockExchange,Frankfurt Stock Exchange
DAX 40,country,Germany
Deutsche Telekom,instanceOf,Company
Deutsche Post,industry,Logistics
EOAN,memberOf,DAX 40 Index
DAX 40,includesCompany,Deutsche Post
DAX 30 Index,baseValue,1000 points
PUM,headquarters,Germany
DTE,country,Germany
Euro,managedBy,European Central Bank
Volkswagen AG,brands,Volkswagen
BAYN,stockExchange,Frankfurt Stock Exchange
Qiagen,foundedIn,1984
FRE,industry,Healthcare
Daimler AG,CEO,Ola Källenius
Deutsche Telekom,tickerSymbol,DTE
BMW,marketCapitalization,Large-cap
MUV2,represents,Munich Re
EOAN,instanceOf,Company
Siemens,stockExchange,Frankfurt Stock Exchange
VOW3,country,Germany
HEI,instanceOf,Company
HelloFresh,stockExchange,Frankfurt Stock Exchange
Klaus Tschira,co-founderOf,SAP SE
Deutsche Börse AG,provides,DAX 40 Index
PUM,stockTicker,PUM
Frankfurt Stock Exchange,operatedBy,Deutsche Börse AG
Volkswagen AG,products,Automobiles
Continental AG,CEO,Nikolai Setzer
HeidelbergCement,stockExchange,Frankfurt Stock Exchange
BASF,memberOfIndex,DAX 40
DAX 40 Index,hasConstituentCompany,HeidelbergCement
Vonovia,marketCapitalization,Largest residential real estate company in Germany
Bayer AG,products,Pharmaceuticals
Peer M. Schatz,occupation,Business Executive
Qiagen,listedIn,DAX 40 Index
Symrise,industry,Flavors and Fragrances
Fresenius Kabi,focus,Infusion therapy and clinical nutrition
Siemens Healthineers,memberOfIndex,DAX 40 Index
Timotheus Höttges,occupation,CEO
Hasso Plattner,instanceOf,Person
Henkel,stockTicker,HEN3
Hasso Plattner,nationality,German
Siemens Healthineers,stockExchange,Frankfurt Stock Exchange
Daimler Truck,instanceOf,Company
Siemens,industry,Conglomerate
MRK,stockExchange,Frankfurt Stock Exchange
Porsche,industry,Automotive
Mercedes-Benz Group AG,stockExchange,Frankfurt Stock Exchange
RWE,headquarters,"Essen, Germany"
Daimler Truck,founded,2021
DAX 40,includesCompany,Bayer
SAP SE,componentOf,DAX 40 Index
BAYN,headquarters,"Leverkusen, Germany"
Hans-Werner Hector,occupation,Entrepreneur
Continental,founded,1871
DE0008404005,identifies,DAX 40 Index
Fresenius Helios,industry,Healthcare
Daimler AG,instanceOf,Company
Deutsche Bank,listedIn,DAX 40 Index
DAX 40 Index,includesCompanies,MTU Aero Engines
Siemens Energy,instanceOf,Company
DAX 40 Index,numberOfConstituents,40
Münchener Rück,instanceOf,Company
Adidas,stockTicker,ADS
Continental,products,Tires
Zalando,instanceOf,Company
Adolf Dassler,occupation,Entrepreneur
Nikolai Setzer,instanceOf,Person
Niklas Östberg,role,CEO of Delivery Hero
Daimler Truck AG,CEO,Martin Daum
HelloFresh,instanceOf,Company
Euro,usedBy,France
"Hilden, Germany",locatedIn,North Rhine-Westphalia
Christian Klein,position,CEO
Volkswagen AG,revenue,€250 billion (2023)
RWE,businessFocus,Renewable energy
Ola Källenius,instanceOf,Person
Dortmund,instanceOf,Company
Allianz,CEO,Oliver Bäte
Fresenius,businessSegments,Fresenius Vamed
Claus Wellenreuther,nationality,German
BMW,products,Luxury vehicles
SAP SE,products,ERP software
Škoda,country,Germany
Allianz,headquarters,"Munich, Germany"
Klaus Tschira,nationality,German
Continental AG,founded,1871
DAX 40 Index,includesCompanies,RWE
VOW3,headquarters,"Wolfsburg, Germany"
Henkel,products,Adhesives
Volkswagen AG,brands,Škoda
Deutsche Börse,provides,DAX 40 Index
SEAT,instanceOf,Automobile Manufacturer
Puma,products,Apparel
Bayer MaterialScience,headquarters,"Leverkusen, Germany"
Deutsche Telekom,memberOfIndex,DAX 40
DAX 40,includesCompany,Vonovia
BMW,industry,Automotive
Symrise,tickerSymbol,SY1
Continental AG,products,Tires
DAX 40 Index,hasConstituentCompany,Covestro
DAX 40 Index,includesCompanies,Deutsche Bank
"Ludwigshafen, Germany",notRelatedTo,DAX 40 Index
Volkswagen Group,stockExchange,Frankfurt Stock Exchange
1COV,listedIn,DAX 40 Index
DAX 30 Index,launchDate,1988-07-01
FRE,instanceOf,Company
Continental,industry,Automotive Parts
EOAN,sector,Utilities
MTU Aero Engines,componentOf,DAX 40 Index
Volkswagen AG,componentOf,DAX 40 Index
Merck Group,industry,Pharmaceuticals
Delivery Hero,founder,Niklas Östberg
Fresenius Medical Care,componentOf,DAX 40 Index
SAP,marketCapitalization,One of the largest in DAX 40
DAX 30,numberOfConstituents,30
Continental,revenue,€44.5 billion (2022)
BASF,instanceOf,Company
Münchener Rück,foundedIn,1880
Bayer AG,instanceOf,Company
Adhesive Technologies,partOf,Henkel
Martin Daum,position,CEO of Daimler Truck AG
RWE,businessFocus,Electricity generation
Peer M. Schatz,role,CEO of Qiagen
Volkswagen Group,headquarters,"Wolfsburg, Germany"
Porsche AG,instanceOf,Company
Delivery Hero,operatesIn,Multiple countries worldwide
Henkel,products,Beauty Care
Nikolai Setzer,occupation,Business Executive
SAP SE,tickerSymbol,SAP
BMW,listedIn,DAX 40 Index
Ettore Bugatti,knownFor,Founder of Bugatti Automobiles
DBK,instanceOf,Company
RWE AG,ISIN,DE0007037129
Merck,industry,Pharmaceuticals
DAX 40,launchDate,1988
Merck,marketCapitalization,Large Cap
RWE AG,stockExchange,Frankfurt Stock Exchange
DAX 40 Index,includesCompanies,Siemens Energy
Siemens Healthineers,parentCompany,Siemens AG
BAYN,marketCapitalization,Large Cap
IFX,headquarters,Germany
DAX 40 company,locatedIn,Germany
Infineon Technologies,instanceOf,Company
European Central Bank,influences,DAX 40 Index through monetary policy
Vonovia,tickerSymbol,VNA
Adidas,industry,Sportswear
DAX 40 Index,includesCompanies,Deutsche Telekom
DAX 30 Index,replacedBy,DAX 40 Index
Fresenius Helios,tickerSymbol,HELIO
LIN,instanceOf,Company
Porsche,stockTicker,PAH3
HelloFresh,headquarters,"Berlin, Germany"
MUV2,instanceOf,Stock Ticker Symbol
Fresenius,businessSegments,Fresenius Kabi
DAX 40,includesCompany,BASF
"Ludwigshafen, Germany",locatedIn,Germany
Münchener Rück,memberOfIndex,DAX 40
Vonovia,industry,Real Estate
Christian Klein,instanceOf,Person
Klaus Tschira,deathYear,2015
SEAT,parentCompany,Volkswagen Group
MRK,industry,Pharmaceuticals
SIE,headquarters,"Munich, Germany"
MUV2,industry,Reinsurance
Rolf Buch,position,CEO of Vonovia
DAX 40 Index,hasConstituentCompany,Bayer
Zalando,tickerSymbol,ZAL
Deutsche Post,tickerSymbol,DPW
DAX 40,includesCompany,Henkel
DAX 40,includesCompany,SAP
Euro,usedBy,Spain
ADS,stockTicker,ADS
Münchener Rück,tickerSymbol,MUV2
Fresenius Vamed,parentCompany,Fresenius SE & Co. KGaA
BAS,listedIn,DAX 40 Index
HeidelbergCement,memberOfIndex,DAX 40
Merck Group,products,Pharmaceuticals
HelloFresh,foundedIn,2011
NSU (historical),mergedInto,Audi
RWE AG,instanceOf,Company
Continental AG,memberOf,DAX 40 Index
VNA,memberOf,DAX 40 Index
MRK,tickerSymbol,MRK
Hans-Werner Hector,nationality,German
Fresenius Vamed,focus,Healthcare project management and services
Siemens Energy AG,headquarters,Germany
SAP,instanceOf,Company
Daimler Truck,CEO,Martin Daum
DAX 40 Index,rebalancingFrequency,quarterly
DAX,instanceOf,Stock Market Index
Adidas,CEO,Björn Gulden
DAX,includesCompanies,BMW
Jochen Hardt,instanceOf,Person
Encavis AG,stockTicker,ECV
DAX 40 Index,hasConstituent,Henkel
DAX 40 Index,hasConstituent,SAP
DAX 40,indexEligibility,companies listed on Frankfurt Stock Exchange
Merck KGaA,headquarters,"Darmstadt, Germany"
Xetra trading platform,trades,Derivatives
Deutsche Börse Group,provides,DAX 40 Index
CON,industry,Construction and Engineering
Deutsche Bank AG,numberOfEmployees,"approximately 84,000"
Porsche AG,CEO,Oliver Blume
DAX,marketCapitalization,Largest German companies by market cap
Linde plc,tickerSymbol,LIN
Fresenius Helios,businessFocus,Hospital Management
DAX 40,notableConstituent,BASF
DAX 40,indexType,performance index
DAX 40 Index,hasConstituent,Infineon Technologies
Xetra trading platform,operatedBy,Deutsche Börse
Fresenius,CEO,Stefan Oelrich
BMW AG,stockExchange,Frankfurt Stock Exchange
Oliver Zipse,occupation,CEO of BMW
DAX,includesCompanies,BASF
ALV,industry,Financial Services
SDAX,operatedBy,Deutsche Börse
TecDAX,focus,Technology sector companies
DAX 40,notableConstituent,SAP
DAX 40 Index,hasConstituent,Puma
DAX 40 Index,hasConstituent,Fresenius Medical Care
DAX,includesCompanies,Henkel
DAX,includesCompanies,SAP
Timotheus Höttges,nationality,German
TecDAX,country,Germany
Werner Baumann,companyListedIn,DAX 40 Index
Daimler Truck AG,instanceOf,company
Christian Klein,associatedWith,SAP SE
HEN3,industry,Consumer Goods
Deutsche Post,memberOfIndex,DAX 40
DAX,includesCompanies,Infineon Technologies
DAX 40 Index,hasConstituent,Deutsche Börse
Dr. Markus Krebber,role,CEO of RWE
DAX 40 Index,hasConstituent,Merck
Adidas,headquarters,Herzogenaurach
DE000ENAG999,represents,Encavis AG
HeidelbergCement,revenue,€18.6 billion (2022)
DAX,includesCompanies,Puma
DAX,includesCompanies,Fresenius Medical Care
DAX family of indices,includes,DAX 40
VOW3,CEO,Oliver Blume
Deutsche Börse,owns,Xetra trading system
DAX 40 Index,hasConstituent,Qiagen
Siemens AG,products,Transportation systems
Peer M. Schatz,Qiagen,component of DAX 40 Index
Frankfurt Stock Exchange,operatedBy,Deutsche Börse
VOW3,foundedYear,1937
Linde plc,industry,Industrial Gases
BMW AG,tickerSymbol,BMW
Porsche AG,knownFor,Luxury sports cars
Bjørn Gulden,relatedTo,DAX 40 Index
Siemens AG,CEO,Roland Busch
Dr. Markus Krebber,employer,RWE
HeidelbergCement,employees,"~57,000 (2022)"
Allianz SE,tickerSymbol,ALV
Puma,founder,Rudolf Dassler
ALV,sector,Insurance
ALV,marketCapitalization,One of the largest in DAX 40
Christian Klein,companyListedOn,DAX 40 Index
Frankfurt Stock Exchange,tradesIndex,DAX 40
CON,headquarters,Germany
Delivery Hero,marketCapitalization,Large Cap
Fresenius SE & Co. KGaA,businessSegments,Fresenius Medical Care
Oliver Zipse,instanceOf,Person
MDAX,calculationMethod,Performance index
TecDAX,numberOfConstituents,30
Covestro,CEO,Jochen Hardt
Daimler Truck,spinOffFrom,Daimler AG
Deutsche Telekom,instanceOf,company
Hasso Plattner,occupation,Businessman
SAP,country,Germany
MDAX,relatedIndex,DAX 40
Deutsche Bank AG,stockExchange,Frankfurt Stock Exchange
DAX 40 company,subjectTo,German stock market regulations
Vonovia,foundedIn,2001
Oliver Blume,memberOf,DAX 40 Index companies
Linde plc,instanceOf,Company
Xetra trading platform,trades,Funds
DAX 40 Index,hasConstituent,HelloFresh
Oliver Bäte,nationality,German
BASF SE,revenue,€78.6 billion (2022)
Xetra trading platform,trades,ETFs
DAX 40 Index,hasConstituent,Porsche
Rudolf Dassler,relation,Brother of Adolf Dassler
Hans-Werner Hector,knownFor,Co-founding SAP SE
DAX 40 Index,indexType,performance index
Infineon Technologies,products,Semiconductor solutions
Martin Brudermüller,occupation,CEO
Siemens Energy,memberOf,DAX 40 Index
Bjørn Gulden,instanceOf,Person
Jochen Hardt,relatedTo,DAX 40 Index
DAX,type,Performance Index
Infineon Technologies,memberOfIndex,DAX 40 Index
Deutsche Börse Group,role,Index provider for DAX 40
Bjørn Gulden,formerPosition,CEO of Adidas Germany
Thierry Bernard,associatedWith,DAX 40 Index
E.ON SE,listedIn,DAX 40 Index
Siemens AG,products,Medical imaging equipment
Joachim Wenning,role,Chairman of the Supervisory Board of Munich Re
DAX family of indices,includes,MDAX
Timotheus Höttges,company,Deutsche Telekom
Bentley,knownFor,Luxury Cars
Prime Standard,is relevant for,companies listed in the DAX 40 Index
Merck,revenue,€19.9 billion (2022)
Timotheus Höttges,position,CEO
DAX 40 Index,hasConstituent,Fresenius
E.ON SE,industry,Energy
DAX,includesCompanies,Porsche
Deutsche Bank AG,tickerSymbol,DBK
DAX,includesCompanies,Deutsche Post
RWE AG,tickerSymbol,RWE
Linde plc,headquarters,"Guildford, United Kingdom"
Audi AG,memberOfIndex,DAX 40 Index
Frankfurt Stock Exchange,foundedIn,1585
TecDAX,relatedTo,DAX 40 Index
Thierry Bernard,role,CEO of Deutsche Börse AG
DAX,represents,40 major German blue chip companies
Linde plc,componentOf,DAX 40 Index
Bentley,instanceOf,Automobile Manufacturer
Deutsche Börse Group,headquarters,"Frankfurt, Germany"
Fresenius SE & Co. KGaA,revenue,Approximately 40 billion EUR (2023)
DE000ENAG999,instanceOf,ISIN
Performance Index,instanceOf,Index Type
ALV,stockExchange,Frankfurt Stock Exchange
Nikolai Setzer,associatedWith,Continental AG
Deutsche Bank AG,componentOf,DAX 40 Index
VOW3,products,Commercial vehicles
DAX,includesCompanies,Fresenius
Björn Gulden,occupation,Business Executive
DAX family of indices,includes,SDAX
Bayer AG,instanceOf,company
Thierry Bernard,industry,Financial Services
DAX 40,indexExpansionDate,"September 20, 2021"
DHER.DE,represents,Deutsche Wohnen SE
Siemens AG,memberOfIndex,DAX 40
Xetra trading system,location,"Frankfurt, Germany"
Fresenius Vamed,stockExchange,Frankfurt Stock Exchange
Frankfurt Stock Exchange,offersTradingIn,Bonds
Joachim Wenning,associatedWith,Munich Re
Audi AG,parentCompany,Volkswagen Group
BMW AG,headquarters,"Munich, Germany"
Prime Standard segment of Frankfurt Stock Exchange,partOf,Frankfurt Stock Exchange
Fresenius SE & Co. KGaA,businessSegments,Fresenius Vamed
Audi,tickerSymbol,NSU (historically)
Deutsche Bank AG,revenue,approximately 25 billion EUR (2023)
Siemens AG,products,Power generation technology
DAX 40 Index,indexMaintenance,Deutsche Börse AG
Christian Klein,nationality,German
TecDAX,instanceOf,Stock Market Index
Xetra trading platform,trades,Equities
BMW AG,foundedIn,1916
E.ON SE,founded,2000
Deutsche Wohnen SE,founded,1998
Jochen Hardt,position,CEO of Deutsche Börse AG
SHL,industry,Human Resources Consulting
DAX family of indices,includes,TecDAX
MTU Aero Engines,memberOf,DAX 40 Index
Symrise,numberOfEmployees,"Around 10,000"
DAX,includesCompanies,Vonovia
Porsche AG,instanceOf,Automobile manufacturer
Werner Baumann,position,CEO of Bayer AG
Adidas,componentOf,DAX 40 Index
Allianz SE,instanceOf,Company
Oliver Blume,occupation,CEO of Porsche AG
DAX 40 Index,hasConstituent,Symrise
RWE AG,instanceOf,company
Werner Baumann,nationality,German
DAX 40 Index,hasConstituent,Allianz
Theodor Weimer,instanceOf,Person
Audi AG,industry,Automotive
DAX 40 Index,hasConstituent,RWE
Timotheus Höttges,occupation,Business Executive
Fresenius SE & Co. KGaA,businessSegments,Fresenius Kabi
DAX,numberOfConstituents,40
Infineon Technologies,headquarters,Germany
Prime Standard,requires,higher transparency standards
MDAX,focus,Mid-cap companies
DAX,includesCompanies,Symrise
DAX 40,notableConstituent,Allianz
DAX,currency,Euro
DAX,includesCompanies,Allianz
Encavis AG,headquarters,"Hamburg, Germany"
Siemens AG,products,Industrial automation equipment
Euro,usedIn,Spain
Xetra trading system,trades,DAX 40 Index constituent stocks
Allianz SE,componentOf,DAX 40 Index
DAX 40 Index,hasConstituent,Siemens Energy
SDAX,relatedTo,DAX 40 Index
VOW3,stockExchange,Frankfurt Stock Exchange
DHER.DE,listedOn,DAX 40 Index
Deutsche Wohnen SE,stockExchange,Frankfurt Stock Exchange
Merck KGaA,sector,Healthcare
DAX 40 Index,hasConstituent,Deutsche Telekom
Volkswagen AG,revenue,over 250 billion euros (2023)
Christian Bruch,relationToDAX40,"CEO of Siemens Energy, a DAX 40 company"
DAX 40,previousName,DAX 30
BMW AG,industry,Automotive
Prime Standard segment of Frankfurt Stock Exchange,requires,Adherence to international accounting standards
Merck KGaA,industry,Pharmaceuticals
Encavis AG,industry,Renewable Energy
Prime Standard segment of Frankfurt Stock Exchange,requires,Quarterly reporting
Münchener Rück,memberOfIndex,DAX 40 Index
DAX 40 Index,hasConstituent,HeidelbergCement
Roland Busch,employer,Siemens AG
RWE,stockExchange,Frankfurt Stock Exchange
Frankfurt Stock Exchange,locatedIn,"Frankfurt, Germany"
Björn Gulden,formerPosition,CEO of Puma
SDAX,market,Frankfurt Stock Exchange
Audi AG,foundedYear,1909
DAX,includesCompanies,Siemens Energy
Bugatti,country,Germany
SDAX,represents,Small-cap companies in Germany
Siemens,founder,Werner von Siemens
Deutsche Bank,CEO,Christian Sewing
Frankfurt Stock Exchange,offersTradingIn,Equities
Steve Angel,position,Chairman of the Supervisory Board
Fresenius Kabi,industry,Healthcare
Oliver Zipse,employer,BMW
DAX,includesCompanies,Deutsche Telekom
DAX,includesCompanies,Deutsche Börse
Adidas,stockExchange,Frankfurt Stock Exchange
Christian Sewing,position,CEO
Audi,memberOf,DAX 40 Index
CON,memberOf,DAX 40 Index
E.ON,numberOfEmployees,"~70,000"
Xetra trading platform,trades,Bonds
Björn Gulden,nationality,German
DAX,includesCompanies,Qiagen
European Central Bank,governs,Euro currency
E.ON SE,instanceOf,Company
DAX 40,indexPurpose,benchmark for German equity market
CON,instanceOf,Company
Munich Re,instanceOf,Company
DAX family of indices,relatedTo,Frankfurt Stock Exchange
EOAN,focus,Solar Power
Volkswagen AG,numberOfEmployees,"approximately 660,000"
ALV,headquarters,"Munich, Germany"
MUV2,sector,Insurance
DAX 40 Index,hasConstituent,Covestro
Audi AG,products,Automobiles
Deutsche Wohnen SE,industry,Real Estate
DAX 40,indexCurrency,Euro
DAX 40,indexBaseDate,"December 30, 1987"
VOW3,products,Automobiles
DHER.DE,sector,Real Estate
Xetra trading platform,usedForTrading,DAX 40 Index
Hasso Plattner,boardMemberOf,SAP SE
DAX 40 Index,hasConstituent,E.ON
Allianz SE,industry,Financial services
DAX 40 Index,hasConstituent,Continental
ALV,instanceOf,Company
DAX 40 Index,hasConstituent,Siemens
MDAX,operator,Deutsche Börse
DHER.DE,instanceOf,Stock Ticker Symbol
Allianz SE,stockExchange,Frankfurt Stock Exchange
EOAN,focus,Wind Power
MRK,headquarters,Germany
Infineon Technologies,foundedYear,1999
Munich Re,foundedIn,1880
Prime Standard,includes,quarterly reporting
DAX 40 Index,hasConstituent,Siemens Healthineers
BMW,products,Automobiles
Deutsche Bank,componentOf,DAX 40 Index
Christian Klein,position,CEO of SAP SE
CON,tickerSymbol,CON
Munich Re,industry,Reinsurance
DAX,includesCompanies,Continental
DAX 40,notableConstituent,Siemens
BMW,instanceOf,company
Deutsche Börse Group,operates,Frankfurt Stock Exchange
Performance Index,includesDividends,true
Kering,wasListedUntil,2018
Carsten Knobel,instanceOf,Person
DAX 40,reviewFrequency,quarterly
SDAX,instanceOf,Stock Market Index
DAX,includesCompanies,Siemens
DAX 40 Index,hasConstituent,Linde
DAX 40 Index,hasConstituent,Münchener Rück
DAX 40,calculationMethod,free-float market capitalization weighted
Stefan Oelrich,boardMembership,Bayer AG
Jochen Hardt,role,"Oversees operations of Deutsche Börse, which operates the Frankfurt Stock Exchange where DAX 40 is listed"
BASF,marketCapitalization,Large Cap
DAX,includesCompanies,Siemens Healthineers
DAX family of indices,instanceOf,family of stock market indices
Prime Standard segment of Frankfurt Stock Exchange,instanceOf,Stock Market Segment
Rudolf Dassler,foundedCompany,Puma
Porsche,CEO,Oliver Blume
Adolf Dassler,relatedToCompanyInDAX40,Adidas
Volkswagen Group,revenue,over 250 billion euros (2023)
E.ON SE,ISIN,DE000ENAG999
Deutsche Börse Group,instanceOf,Company
Siemens Energy,headquarters,Germany
Volkswagen Group,brands,Lamborghini
DAX,tradingHours,09:00 to 17:30 CET
Christian Bruch,employer,Siemens Energy
Bjørn Gulden,nationality,Norwegian
Encavis AG,focus,Solar and Wind Power Plants
Thierry Bernard,nationality,French
Bentley,industry,Luxury Automobiles
DAX,includesCompanies,Linde
Euro,usedIn,France
DHER.DE,country,Germany
DAX,includesCompanies,Münchener Rück
Henkel AG & Co. KGaA,stockTicker,HEN3
Bentley,founded,1919
Prime Standard segment of Frankfurt Stock Exchange,requires,Higher transparency standards
Bugatti,founded,1909
DAX 40 Index,hasConstituent,Daimler Truck
DAX 40 Index,hasConstituent,Adidas
Dr. Markus Krebber,occupation,CEO
DAX 40 Index,hasConstituent,BMW
MTU Aero Engines,employees,"Around 10,000 (2023)"
DAX 40 Index,hasConstituent,MTU Aero Engines
Munich Re,country,Germany
Oliver Zipse,nationality,German
MDAX,includesCompaniesFrom,Prime Standard segment of Frankfurt Stock Exchange
BASF,CEO,Martin Brudermüller
Porsche AG,foundedIn,1931
Xetra trading platform,location,"Frankfurt, Germany"
TecDAX,marketCapitalization,Mid-cap companies
DAX,country,Germany
Allianz SE,founded,1890
