subject,predicate,object
Enki,role,"god of freshwater, knowledge, mischief, crafts, and creation"
First Temple,locatedIn,Jerusalem
Akitu (New Year festival),purpose,Renewal of kingship
Serpent-dragon,featuredOn,Ishtar Gate of Babylon
Kassite dynasty of Babylon,origin,Kassites
Babylonian revolts,resultedIn,temporary independence of Babylon
Shutruk-Nahhunte,instanceOf,King
Simbar-shipak,reignStart,1021 BC
Elamites,location,Elam
Ancient Babylonians,instanceOf,Ancient people
Ishtar Gate fragments,depict,bulls
Birs Nimrud,excavatedBy,Robert Koldewey
Ishtar Gate of Babylon,locatedIn,Babylon
Urukagina,knownFor,Earliest known legal code
Darius II of Persia,father,Artaxerxes I
Tammuz festival,associatedWith,Tammuz
Babylonian people,knownFor,Contributions to law
Siege of Jerusalem (587 BCE),resultedIn,Babylonian captivity of Jews
Ishtar Gate bricks,currentLocation,"Pergamon Museum, Berlin"
Warad-Sin,successor,Rim-Sin I
Xerxes II,reignEndYear,424 BC
Gemara,instanceOf,Jewish religious text
Ancient Babylon,knownFor,Epic of Gilgamesh
Apsu,mentionedIn,Enuma Elish
Ziggurat Etemenanki,constructedDuring,Neo-Babylonian Empire
Sargon of Akkad,mother,unknown
Babylonian Captivity of the Jews,endedBy,Cyrus the Great
Amorites,associatedWith,Ancient city of Babylon
Eanna temple,significance,religious and cultural center of Uruk
Aramaic language,usedIn,Babylonian Empire
Nabu-apla-iddina,predecessor,Nabu-mukin-zeri
Isin-Larsa period,significance,transition between Ur III and Old Babylonian periods
Belet-ili,role,mother goddess
Damiq-ilishu,associatedWith,Isin dynasty
Expansion of Babylon,resultedIn,territorial growth
Shubat-Enlil,associatedWith,King Hammurabi
Old Babylonian period,knownFor,Code of Hammurabi
Ancient Babylon,culturalInfluence,Mesopotamian civilization
Tower of Babel,symbolizes,human ambition
Ziggurat of Ur,purpose,Religious temple
Hammurabi's dynasty,language,Akkadian
Warad-Sin,ruledOver,Larsa
Suppiluliuma I,fatherOf,Mursili II
Mushussu,appearsOn,Ishtar Gate
Sealand Dynasty,instanceOf,Ancient Mesopotamian dynasty
Enlil,spouse,Ninlil
Extensive library at Nineveh,timePeriod,7th century BCE
Siege of Jerusalem (587 BCE),ledBy,Nebuchadnezzar II
Simbar-Šipak,death,1004 BC
City of Larsa,flourishedDuring,Early Bronze Age
Ninurta,associatedWith,hunting
Babylonian art,includes,architecture
Babylonia,majorCity,Borsippa
Excavations at Babylon,discovered,Processional Way
Antu,parentOf,Ishtar
Jacques de Morgan,excavated,Babylon
Babylonian authorities,included,Priests
Babylonian cylinder seals,timePeriod,ancient Mesopotamia
Mushussu,associatedWith,Ancient Babylon
Goddess Ishtar,domain,War
Larsa kingdom,conqueredBy,Babylon under Hammurabi
Ancient Babylonian King,instanceOf,Title
Artaxerxes II,mother,Parysatis
Siege of Jerusalem,resultedIn,Destruction of the First Temple
Babylonian Empire,notableEvent,Fall of Babylon in 539 BC
al-Hiba,notableFor,Archaeological ruins
Morning Star (Venus),trackedBy,Babylonian Astronomers
Du'uzu,instanceOf,Ancient Babylonian deity
Babylonian captivity of Jews,causedBy,Babylonian conquest of Judah
Middle Assyrian period,precededBy,Old Assyrian period
Dadusha,knownFor,Legal reforms
Middle Babylonian period,notableRuler,Kassite dynasty
Old Babylonian,notableKing,Hammurabi
Astyages,fatherOf,Mandane of Media
Babylonian Empire,language,Akkadian
Ancient Babylonian Empire,language,Akkadian
Gate of Babylon,builtIn,6th century BCE
Kara-hardash,mother,Babylonian princess
Ancient Babylon,historicalPeriod,Iron Age
Shamash-shum-ukin,capital,Babylon
Neo-Babylonian period,culturalSignificance,Revival of Babylonian culture and arts
Achaemenid Empire period,associatedWith,Babylon
Amorite language,usedIn,Babylonian region
Babylon,destroyedBy,Persian Empire
Adad-nirari I,knownFor,Military campaigns expanding Assyrian territory
Tammuz,deathCause,descent to the underworld
Cyrus Cylinder,purpose,declaration of Cyrus the Great's conquest of Babylon
Burna-Buriaš III,father,Kara-ḫardaš
City of Kish,notableRuler,Enmebaragesi
Old Babylonian period,associatedWith,Babylon
Amarna letters correspondence,discoveredAt,"Amarna, Egypt"
Fara,locatedIn,Mesopotamia
Eshnunna laws,date,circa 1930 BCE
Old Babylonian Empire,notableRuler,Hammurabi
King Kurigalzu I,religion,Ancient Mesopotamian religion
Ancient Babylon,notableRuler,Hammurabi
Achaemenid Empire period,ruler,Cyrus the Great
Babylon,knownFor,Babylonian mythology
King Ush,instanceOf,King
Fall of Babylon (539 BC),instanceOf,historical event
Achaemenid Empire,controlled,Babylon
Babylonia,locatedIn,Mesopotamia
Samsu-iluna,capital,Babylon
Assyrian inscriptions,relatedTo,Assyrian Empire
Shirikti-shuqamuna,successor,Baba-aha-iddina
Babylonian territory,controlledBy,Babylonian Empire
Gobryas,instanceOf,Person
Shamash,instanceOf,Deity
Damkina,spouse,Ea (Enki)
Babylonian rulers,ruled,Babylon
Hurrians,languageFamily,Hurro-Urartian
Ziggurats,location,Mesopotamia
Babylon,UNESCOWorldHeritageSite,no
Persian conquest of Babylon,notableFor,bloodless takeover
City of Babylon,locatedOn,Euphrates River
Book of Jeremiah,partOf,Old Testament
Neo-Babylonian Empire,historicalSignificance,last great Mesopotamian empire before Persian conquest
Walter Andrae,occupation,Architect
Eanna temple complex,instanceOf,ancient temple complex
Eshnunna laws,include,property rights
Ancient Babylon,knownFor,cuneiform writing
Neo-Babylonian,alsoKnownAs,Chaldean Empire
Babylonian Kingdom,conqueredBy,Achaemenid Empire
Fara,discoveredBy,Leonard Woolley
Ibbi-Sin,knownFor,Last king of the Third Dynasty of Ur
Hanging Gardens of Babylon,instanceOf,Ancient Wonder
Kassites,ruled,Babylon
Ishtar Gate bricks,color,Blue
City of Kish,locatedIn,Mesopotamia
Ancient Babylonian Festival,occurredDuring,Spring
Expansion of Babylon,notableRuler,Nebuchadnezzar II
Siege of Jerusalem (597 BC),conductedBy,Babylonian Empire
Third Dynasty of Ur,notableRuler,Shulgi
Nabu-mukin-zeri,predecessor,Marduk-apla-iddina II
Darius I,conquered,Babylon
Nabopolassar of Babylon,deathYear,605 BC
Sumu-abum,founderOf,First Dynasty of Babylon
Ashur-dan III,reignEnd,755 BC
Ensi,associatedWith,Sumerian city-states
First Babylonian Empire,language,Akkadian
Sumerian King List,describes,kings of Sumer
Nanshe,associatedWith,fertility
Babylonian Captivity of Jews,significance,major event in Jewish history
Code of Hammurabi,instanceOf,Babylonian law codes
Eanna temple,locatedIn,Uruk
Lagash,majorDeity,Ningirsu
Enlil-nirari,dynasty,Kassite dynasty
Babylonian clay tablets,discoveredIn,Iraq
Palace of Nebuchadnezzar II,archaeologicalSite,Babylon ruins
Ancient Babylon,historicalEvent,Fall of Babylon (539 BC)
Babylon,knownFor,religious festivals
City-state of Larsa,historicalPeriod,Old Babylonian period
Belshazzar,role,Co-regent of Babylon
Queen of Babylon,instanceOf,Title
Isin-Larsa period,location,Mesopotamia
Babylon,historicalEvent,Fall of Babylon
Chaldean prince,associatedWith,Chaldean dynasty
Assyrian inscriptions,usedLanguage,Akkadian
Nanna,symbol,Crescent moon
Enki,associatedWith,Creation
Ziggurat of Ur,material,Mud bricks
Ubara-Tutu,mentionedIn,Sumerian King List
Babylon,knownFor,religious temples
King Rim-Sin I,title,King
Sennacherib's Prism,date,early 7th century BCE
Babylonian Talmud,significance,Central text of Rabbinic Judaism
Sennacherib's Prism,discoveredIn,Nineveh
Siege of Babylon (539 BC),location,Babylon
Lugal-anda,reignPeriod,circa 2400 BC
Middle Babylonian period,capital,Babylon
Babylonian Exile,occurredIn,Babylon
Assyrian Empire,notableKing,Ashurbanipal
First Dynasty of Isin,timePeriod,c. 1950–1717 BC
Procession to Esagila temple,purpose,Religious worship
Kassite dynasty,contributedTo,stability and prosperity of Babylon
Treaty with Assyrian king Ashur-uballit I,involves,Babylon
Kudurru boundary stones,feature,inscriptions
Enuma Anu Enlil texts,instanceOf,ancient Babylonian astronomical texts
Amestris,spouse,Xerxes I
Nebuchadnezzar II,knownFor,construction of the Hanging Gardens of Babylon
Babylonian Exile,endedBy,Cyrus the Great
Nabu-shuma-ishkun,dynasty,Dynasty of E
Birs Nimrud,instanceOf,ancient city site
Babylonian territory,instanceOf,territory
Astyages,grandfatherOf,Cyrus the Great
Babylonian Kingdom,notableRuler,Nebuchadnezzar II
Amoraim,location,Land of Israel
Lugalzagesi,reignedOver,Sumer
Babylon,notableDeityWorshiped,Marduk
Walter Andrae,birthDate,1875
Kadašman-Turgu,dynasty,Kassite dynasty
Nippur,associatedWith,"Enlil, chief deity"
Ancient Babylonians,ruledBy,Hammurabi
Dumuzi,instanceOf,Ancient Mesopotamian deity
Carchemish,locatedIn,ancient Near East
Babylon,language,Akkadian
Tammuz,symbolizes,Vegetation and renewal
Ancient Babylonian period,capitalCity,Babylon
Enuma Elish,featuresGod,Apsu
Achaemenid dynasty,conquered,Neo-Babylonian Empire
Battle of Nineveh,occurredInYear,612 BC
Shuruppak,archaeologicalSite,modern Tell Fara
First Temple,alsoKnownAs,Solomon's Temple
Etemenanki Ziggurat,height,approximately 91 meters (300 feet)
Adad-shuma-usur,title,King of Babylon
Amestris,associatedWith,Achaemenid Empire
Etemenanki,reconstructedBy,Nebuchadnezzar II
King Jehoiakim,contemporaryOf,Nebuchadnezzar II
Sippar,historicalPeriod,Old Babylonian period
Correspondence with Egyptian Pharaoh Akhenaten,instanceOf,Ancient diplomatic correspondence
Babylonian gods,include,Ea
Epic of Gilgamesh,containsTheme,mortality
Nergal,associatedWith,Destruction
Enlil-kudurri-usur,predecessor,Nazi-Maruttash
Silver shekel,mentionedIn,ancient Babylonian texts
Babylonian Exile,involved,Jews
Dragon (Mušḫuššu),associatedWith,Ancient city of Babylon
Shamash,associatedWith,Law and order
Babylon in 539 BCE,conqueredBy,Achaemenid Empire
Battle of Nihriya,relatedTo,ancient city of Babylon
Siege of Babylon,involved,Assyrian Empire
Shamash,depictedWith,Rays of light emanating from shoulders
Sumerian language,writingSystem,cuneiform script
Shulgi,notableFor,Standardization of weights and measures
Babylonian,culture,Mesopotamian culture
Judah,conqueredBy,Babylonian Empire
Marduk,mother,Damkina
Belshazzar,knownFor,The writing on the wall
King Nebuchadnezzar II,dynasty,Neo-Babylonian Empire
Arch of Ctesiphon,historicalPeriod,ancient Mesopotamia
Achaemenid dynasty,foundedBy,Cyrus the Great
First Dynasty of Isin,notableKing,Lipit-Ishtar
Abu Ja'far Abdallah ibn Muhammad al-Mansur,reignedUntil,775
King Nebuchadnezzar II,reignEnd,562 BC
Enannatum I,instanceOf,King of Lagash
Elamites,instanceOf,Ancient people
Babylonian revolts,instanceOf,historical events
Babylon,tradeCenter,ancient Near East
Sennacherib,faced,rebellions in Babylon
Babylonian mythology,includesDeity,Marduk
Mursili I,instanceOf,King of the Hittite Empire
Isin kingdom,capital,Isin
Marduk-apla-iddina II,successor,Sargon II
Babylonian Captivity of Jews,resultedIn,deportation of Jews to Babylon
Kingdom of Israel,neighboringKingdom,Kingdom of Judah
Ctesiphon,capitalOf,Sasanian Empire
Kassite rule in Babylon,introduced,Kassite language influence
Kadašman-Enlil III,reignPeriod,circa 1232–1225 BC
Utu,instanceOf,Mesopotamian deity
Abzu,represents,source of life and fertility
Babylon,locatedOn,Euphrates River
Kudurru,contains,Cuneiform inscriptions
Gudea,title,ensi (governor) of Lagash
Umma,locatedIn,Mesopotamia
Anu,temple,Eanna temple in Uruk
City of Uruk,hadZiggurat,Eanna temple complex
Ishtar Gate,dedicatedTo,Goddess Ishtar
Shamshi-Adad I,father,Ishme-Dagan
Nebuchadnezzar II,economicPolicy,Promotion of trade and agriculture
Ancient Babylon,knownFor,astronomical observations
2nd Dynasty of Isin,language,Akkadian
Akkadian Empire period,location,Mesopotamia
Abu Jafar al-Mansur,founded,Baghdad
Marduk-shapik-zeri,predecessor,Marduk-nadin-ahhe
Abi-Eshuh,instanceOf,King of Babylon
Ishtar Gate,function,main entrance to inner city of Babylon
Ningal,role,Goddess of reeds and marshes
Cuneiform script,writtenOn,Clay tablets
Babylon,notableFeature,processional way
Umma,ruledBy,King Ush
Babylonian archives,include,administrative records
Goddess Ishtar,domain,Love
Temple of Shamash,instanceOf,Ancient Babylonian temple
Ziggurat of Ur,constructedBy,King Ur-Nammu
Ziggurat,location,Babylon
Nebuchadnezzar II,capital,Babylon
Temple of the Sun God Utu,associatedWith,Sun God Utu
Lullubi people,location,Zagros Mountains
Zedekiah,reignEnd,586 BC
Law Code of Hammurabi,createdBy,Hammurabi
Tammuz,relatedTo,Seasonal cycle of death and rebirth
Utnapishtim,granted,Immortality by the gods
End of Assyrian Empire,instanceOf,historical event
Umma,historicalPeriod,Sumerian civilization
City of Eshnunna,knownFor,Eshnunna law code
Palace of Ashurnasirpal II at Nimrud,builtBy,Ashurnasirpal II
Gate of Xerxes,historicalPeriod,Achaemenid Empire
Battle of Cunaxa,relatedTo,ancient city of Babylon
Du'uzu,associatedWith,Seasonal cycles
Tiamat,role,primordial goddess of salt water and chaos
Utnapishtim,location,Ancient Mesopotamia
Babylon,knownFor,Babylonian social structure
Hammurabi's dynasty,region,Mesopotamia
Darius II,successor,Artaxerxes II
Robert Koldewey,occupation,Archaeologist
Akkadian language,languageFamily,Semitic
Ishme-Dagan,father,Shamshi-Adad I
Sumu-la-El,dynasty,First Dynasty of Babylon
Ishtar,role,Goddess of fertility
Eshnunna law code,timePeriod,circa 1930 BCE
Code of Hammurabi,includesLawsOn,property
Persian control of Babylon,instanceOf,historical period
Ancient Babylonian Empire,timePeriod,circa 1894 BC to 539 BC
Third Dynasty of Ur,alsoKnownAs,Ur III
Akitu,celebratedIn,Assyria
Samsu-iluna,successor,Abi-Eshuh
Babylonia,knownFor,astronomy
Temple Tower,material,mud bricks
Elamite dynasty,origin,Elam
Nabonidus,fatherOf,Belshazzar
Siege of Babylon (539 BC),historicalSignificance,End of Neo-Babylonian Empire
Babylon,knownFor,ancient Mesopotamian religion
Babylonian capture of Jerusalem,ledBy,Nebuchadnezzar II
Babylonian New Year festival,alsoKnownAs,Akitu festival
Battle of Gaugamela,occurredIn,331 BC
Akkadian cuneiform,usedIn,Ancient Mesopotamia
Darius the Great,conquered,Babylon
Nergal,role,God of plague
Law of retaliation,describedIn,Code of Hammurabi
Esagila,associatedWith,Ziggurat Etemenanki
Etemenanki ziggurat,height,approximately 91 meters
Kings of Babylon,includes,Nabopolassar
Babylonian mathematics,influenced,Greek mathematics
Ninhursag,parentOf,Nanna
Babylon,knownFor,legal system
Dur-Sharrukin,locatedIn,Assyria
Enlil-kudurri-usur,notableEvent,Conflict with Assyria
Xerxes I,knownFor,Invasion of Greece
Middle Assyrian Empire,knownFor,Military expansion
Nergal-ushezib,successor,Mushezib-Marduk
Babylonian cuneiform texts,originatedIn,Babylon
Ancient Babylonian civilization,religion,polytheistic
Uruk,hadZiggurat,yes
Babylon,declinedAfter,Hellenistic period
Achaemenid rule over Babylon,precededBy,Neo-Babylonian Empire
Abi-Eshuh,predecessor,Samsu-ditana
Neo-Babylonian period,economicActivity,Agriculture
Old Babylonian Empire,knownFor,Code of Hammurabi
Karduniaš,language,Sumerian
King Ammuna,predecessor,Samsu-Ditana
Esagila temple,historicalPeriod,Neo-Babylonian Empire
Babylonian art,instanceOf,art style
Babylonians,developed,Code of Hammurabi
Babylon,modernLocation,"near Hillah, Iraq"
Neo-Babylonian period,alsoKnownAs,Chaldean dynasty
Tell Asmar,instanceOf,Archaeological site
Hanging Gardens,feature,Irrigation system
Ipiq-Adad II,predecessor,Karaindaš
Ancient Assyria,location,Mesopotamia
Nabu-shuma-ukin I,successor,Nabu-mukin-zeri
Law Code of Hammurabi,includes,laws on family
Marduk-nādin-aḫḫē,instanceOf,King of Babylon
King of Uruk and Ur,associatedWith,Ancient Mesopotamia
Eshnunna,knownFor,Eshnunna law code
Atrahasis Epic,language,Akkadian
Walter Andrae,knownFor,Excavations at Babylon
Babylonian city-state,majorDeity,Marduk
Nabopolassar of Babylon,reignStart,626 BC
Destruction of Babylon in 689 BC,occurredInYear,689 BC
Sennacherib,father,Sargon II
City of Isin,famousRuler,Ishme-Dagan
Tammuz festival,timeOfYear,summer
Battle between Marduk and Tiamat,resultedIn,Formation of the heavens and the earth
Babylonian captivity of Jews,endDate,538 BCE
Ninurta-apal-Ekur,title,King of Assyria
Queen of Assyria,associatedWith,Assyrian Empire
King Hammurabi,successor,Samsu-iluna
Ben-Hadad II,instanceOf,King of Aram-Damascus
City of Isin,famousRuler,Ur-Ninurta
Siege of Jerusalem (701 BC),resultedIn,Failure to capture Jerusalem
Akitu (New Year Festival),instanceOf,Ancient Babylonian festival
Eshnunna,neighboringCity,Babylon
Ancient Babylonian era,associatedWith,Babylon
Code of Ur-Nammu,originatedIn,Sumer
Babylonian Captivity,involvedPeople,Jews
Third Dynasty of Ur,languageUsed,Sumerian
City of Larsa,knownFor,Laws of Larsa
Marduk,associatedWith,creation
Persian control of Babylon,notableRuler,Cyrus the Great
Babylon,religion,ancient Mesopotamian religion
Ancient Babylonian mythology,includesDeity,Enlil
Esagila temple complex,associatedWith,Nebuchadnezzar II
Solomon's Temple,constructedIn,10th century BCE
Burnaburiash II,capital,Babylon
Kadashman-Harbe I,dynasty,Kassite dynasty
Library of Ashurbanipal,dateEstablished,7th century BCE
City of Isin,historicalPeriod,Isin-Larsa period
Babylonian archives,preservedBy,dry climate of Mesopotamia
Hanging Gardens of Babylon,mentionedBy,Ancient Greek historians
Mursili I,militaryCampaign,Campaign against the Old Babylonian Empire
Babylonian mathematics,usedNumberSystem,sexagesimal (base 60)
Conquest of Babylon,conqueredBy,Achaemenid Empire
Ancient Babylonian dynasty,instanceOf,dynasty
Tell Fara,excavationYears,1930s
Lugalanda,associatedWith,Ancient city of Lagash
Babylonian Chronicles,language,Akkadian
Assyrians,religion,Ancient Mesopotamian religion
Babylonian New Year (Akitu),includedRitual,Temple ceremonies
Ekur,locatedIn,Nippur
Correspondence with Egyptian Pharaoh Akhenaten,involves,Babylonian kings
Babylon,influenced,later Mesopotamian cultures
Kassite dynasty of Babylon,notableKing,Agum II
Achaemenid conquest of Babylon,occurredInYear,539 BCE
Palace of Nebuchadnezzar II,historicalSignificance,Center of Babylonian administration and culture
Babylon,populationEstimate,tens of thousands
Babylonian city-state,majorReligion,Babylonian mythology
Taq Kasra,alsoKnownAs,Arch of Ctesiphon
City of Babylon,ruledBy,King Hammurabi
Simbar-shipak,dynasty,2nd Dynasty of Isin
City of Babylon,destroyedIn,539 BC
Borsippa,archaeologicalSite,modern Birs Nimrud
Taq Kasra,notableFor,largest single-span vault of unreinforced brickwork
Ancient Sumer,location,southern Mesopotamia
Babylonian captivity of the Jews,endedBy,Cyrus the Great's decree
God Marduk,associatedWith,Babylon
King of Lagash,instanceOf,Title
Lipit-Ishtar,successor,Ur-Ninurta
Ancient Babylonian festival,instanceOf,Cultural event
City of Babylon,historicalPeriod,Old Babylonian period
Round City of Baghdad,locatedIn,Baghdad
Ancient Sumer,instanceOf,ancient civilization
Etemenanki,constructedDuring,Neo-Babylonian Empire
Shamash-shum-ukin,reignPeriod,668–648 BC
Hurrian kingdom of Mitanni,instanceOf,ancient kingdom
Dragon (Mušḫuššu),instanceOf,Mythological creature
Babylon,founded,circa 1894 BC
as-Senkereh,alternativeName,Larsa
Xerxes I,notableFor,Invasion of Greece
Babylonian cuneiform texts,instanceOf,ancient texts
Ancient Babylon,notableStructure,Ishtar Gate
Apsu,fatherOf,Younger gods
Kara-hardash,father,Ashur-uballit I
Temple of Marduk,locatedIn,Babylon
Gubaru,timePeriod,6th century BCE
Kings of Babylon,includes,Samsu-iluna
Babylonian captivity period,significance,Major event in Jewish history
Conflicts with Akkadian Empire,involves,Akkadian Empire
Median Empire,knownFor,unification of Median tribes
Ereshkigal,role,Queen of the Underworld
Babylonian exile,resultedIn,deportation of Jewish population to Babylon
Cuneiform writing system,writtenOn,Clay tablets
King of the Four Quarters,usedDuring,Neo-Babylonian Empire
Bau,associatedWith,Ancient Babylon
Enlil-nadin-ahi,instanceOf,King of Babylon
Ancient Mesopotamian Empire,instanceOf,Empire
Xerxes I,title,King of Persia
Akkadian Empire period,significance,First ancient Semitic-speaking empire in Mesopotamia
Etemenanki ziggurat,function,religious temple
Babylonian authorities,operatedDuring,Old Babylonian period
Belshazzar,historicalEvent,Fall of Babylon to Cyrus the Great
Ishtar Gate,partOf,Walls of Babylon
Babylon,knownFor,Babylonian sculpture
Babylonian Captivity,occurredDuring,6th century BCE
First Babylonian Dynasty,fellTo,Hittites
Gate of Xerxes,material,Mudbrick and glazed bricks
Babylonian Empire,originatedIn,Mesopotamia
Atrahasis Epic,theme,divine punishment
Babylonian captivity of the Jews,involvedPeople,Jews
Robert Koldewey,knownFor,Excavation of Babylon
Fara,archaeologicalSite,Iraq
Tower of Babel,resultedIn,confusion of languages
Destruction of the First Temple,resultedIn,Babylonian captivity
Nabu-shuma-ishkun,reignPeriod,circa 748–734 BC
Etemenanki of Borsippa,purpose,Symbolic representation of the connection between heaven and earth
Utu,parent,Nanna (Moon God)
Code of Hammurabi,discoveredAt,Susa
Nabu-kudurri-usur I,instanceOf,King of Babylon
Utu,siblings,Inanna
Babylonian Astronomers,influenced,Greek Astronomy
Taq Kasra,notableFeature,largest single-span vault of unreinforced brickwork in the world
Neriglissar,successor,Labashi-Marduk
Nabu,parent,Marduk
E-abzu,mentionedIn,Babylonian mythology
Temple of the sun god Shamash,dedicatedTo,Shamash
Ancient Sumer,notableCity,Uruk
Babylonian captivity period,endedBy,Cyrus the Great
Larsa kingdom,capitalCity,Larsa
Neo-Babylonian Empire,fellTo,Achaemenid Empire
Babylon,knownFor,Babylonian trade
First Babylonian Dynasty,governmentType,Monarchy
Temple of Enlil,function,Religious worship
Babylonian New Year (Akitu),celebratedDuring,Spring equinox
City of Babylon,instanceOf,Ancient city
Mursili I,death,assassinated
Sumerian King List,instanceOf,ancient manuscript
Tammuz festival,celebrates,the death and resurrection of the god Tammuz
Ur-Nanshe,reignPeriod,circa 26th century BCE
Babylon,ruledBy,Nebuchadnezzar II
Ancient Israelite religion,timePeriod,Iron Age
King Hezekiah,knownFor,Religious reforms
Hillah,has,historical sites related to Babylon
Sun God Shamash,temple,E-babbar in Sippar
Ancient Babylonian Empire,famousStructure,Ishtar Gate
King of Sippar,relatedTo,Babylonian Empire
Achaemenid Empire,knownFor,administrative efficiency
Amel-Marduk,predecessor,Nebuchadnezzar II
King Shulgi,capital,Ur
Processional Way,connected,Marduk's temple
Tell Asmar Hoard,discoveredAt,Tell Asmar
Apsu,instanceOf,god
Babylonians,knownFor,Babylonian Empire
Babylonian texts,writtenIn,Akkadian language
Mar-biti-apla-usur,predecessor,Marduk-šāpik-zēri
E-zida,constructedDuring,Neo-Babylonian period
Etemenanki,associatedWith,Tower of Babel
Burna-Buriaš III,instanceOf,King of Babylon
E-babbar,dedicatedTo,Shamash
Zidanta I,successor,Huzziya I
Temple of the Sun God Shamash,architecturalStyle,Mesopotamian temple architecture
Persian conquest of Babylon,conqueredBy,Cyrus the Great
City Walls of Babylon,material,Mudbrick
Siege of Jerusalem (586 BC),conductedBy,Babylonian Empire
Kassite dynasty of Babylon,notableKing,Burna-Buriash II
Karduniaš,instanceOf,ancient kingdom
City of Umma,historicalPeriod,Early Dynastic period
Shrine of Marduk,locatedIn,Babylon
Babylonian archives,writtenIn,cuneiform script
Hammurabi,wasKingOf,Babylon
Xerxes I,associatedWith,Babylon
Fall of Babylon to the Hittites,precededBy,Kassite rule in Babylon
Fall of Babylon (539 BC),location,Babylon
Adad-shuma-usur,successor,Meli-Shipak II
Enlil-kudurri-usur,title,King of Babylon
Hammurabi,conquered,Sumerian city-states
Amorite Dynasty,notableRuler,Hammurabi
Babylon,historicalCapital,Chaldean Empire
Tower of Babel,mentionedIn,Book of Genesis
Ashurbanipal,contemporaryOf,Nabopolassar's reign
Babylonian territory,includedCity,Babylon
Enlil-nadin-shumi,capturedBy,Tukulti-Ninurta I
Kashtiliash IV of Babylon,reignPeriod,circa 1232–1225 BC
Daniel,servedUnder,King Nebuchadnezzar II
Cyrus the Younger,father,Darius II of Persia
Burnaburiash II,successor,Karaindash
Kassite period,instanceOf,historical period
Law Code of Hammurabi,originatedIn,Babylon
Ammi-Ditana,notableFor,Building projects in Babylon
Sennacherib's Prism,material,clay
Amorite people,language,Amorite language
Bull of Heaven,defeatedBy,Gilgamesh and Enkidu
Dadusha,instanceOf,King
Extensive library at Nineveh,foundedBy,Ashurbanipal
Akitu festival,celebratedIn,Babylon
Anu,instanceOf,Mesopotamian deity
Esagila temple,rebuiltDuring,6th century BCE
Inanna,parent,Anu
Kurigalzu I,reignPeriod,c. 1400 BC
Tammuz festival,commemorates,death and resurrection of Tammuz
Ben-Hadad II,mentionedIn,Hebrew Bible
Babylonian city-state,economicActivity,agriculture
King of Akkad,instanceOf,Title
Cuneiform script,instanceOf,Writing system
Abu Ja'far Abdallah ibn Muhammad al-Mansur,knownFor,establishing Baghdad as the capital of the Abbasid Caliphate
Nabopolassar,founderOf,Neo-Babylonian Empire
Sumerian King List,writtenIn,Sumerian language
Ancient Babylonian religion,includedDeity,Ea
Babylon,knownFor,Babylonian art styles
Ancient Assyria,timePeriod,c. 2500 BCE to 609 BCE
Damkina,instanceOf,Mesopotamian goddess
Shalmaneser III,instanceOf,Assyrian king
Kassite period,associatedWith,Babylon
Babylon,historicalPeriod,Old Babylonian period
Law code of Lipit-Ishtar,language,Sumerian
Hanging Gardens of Babylon,purpose,To please Amytis of Media
Nabu-shuma-ishkun,successor,Neriglissar
Ur III dynasty,succeededBy,Isin-Larsa period
Esagila temple,associatedWith,Tower of Babel
Babylonian clay tablets,content,legal documents
Kassite dynasty,capital,Dur-Kurigalzu
Siege of Babylon (689 BC),location,Babylon
Ancient Babylonian texts,dateFrom,circa 2000 BCE to 500 BCE
Median Empire,language,Median language
Babylonian region,instanceOf,Geographical region
Queen of Babylon,timePeriod,Ancient Mesopotamia
Processional Way of Babylon,connectedTo,Ishtar Gate
Babylonian calendar,monthNames,Shabatu
Babylon,notableFeature,Ziggurat Etemenanki
Second Abbasid Caliph,dynasty,Abbasid Caliphate
Siege of Babylon,resultedIn,Destruction of Babylon
Palace at Nimrud,builtBy,Assyrian Empire
Fall of Babylon to Cyrus the Great,mentionedIn,Cyrus Cylinder
Ancient Kingdom of Judah,conqueredBy,Babylonian Empire
Excavations at Babylon,discovered,Ishtar Gate
Nabu-kudurri-usur I,successor,Marduk-shapik-zeri
Ancient city of Ur,instanceOf,ancient city
Babylonian religion,practicedIn,Babylon
Temple Tower,locatedIn,Babylon
Samsu-iluna,reignEnd,1712 BC
Kar-Tukulti-Ninurta,instanceOf,fortress city
Shalmaneser IV,predecessor,Adad-nirari III
Neo-Babylonian period,timeFrameEnd,539 BC
Siege of Babylon,involved,Babylonian forces
King of the Four Quarters,associatedWith,Ancient Babylon
Cuneiform tablets,usedIn,Ancient Mesopotamia
Babylonian civilization,contributedTo,law codes
Babylonian captivity of Jews,instanceOf,historical event
Gate of Xerxes,locatedIn,Babylon
Tammuz,spouse,Ishtar
King (Ensi) of Lagash,role,Ruler of the city-state Lagash
Ancient Assyria,notableKing,Ashurbanipal
Lugalbanda,relation,Father of Gilgamesh
Isin-Larsa period,notableCities,Isin
City of Ur,partOf,Ancient Mesopotamia
Tukulti-Ninurta Epic,historicalPeriod,13th century BCE
Ur,ruledBy,King Ur-Nammu
Akkadian dialect,writtenIn,Cuneiform script
Kassite people,language,Kassite language
Ningirsu,child,Ninurta
Babylon,famousStructure,Ishtar Gate
Etemenanki,locatedIn,Babylon
Dur-Kurigalzu,locatedIn,Babylonian Empire
Lex talionis,example,An eye for an eye
Ninurta-apla-X,dynasty,Dynasty of E
